2022-04-07 20:10:58.372873 Epoch 87, Training loss 0.9608140490376033
2022-04-07 20:10:58.902286 Epoch 88, Training loss 0.945057614491536
2022-04-07 20:10:59.430613 Epoch 89, Training loss 0.9273058376633204
2022-04-07 20:10:59.961813 Epoch 90, Training loss 0.9125300003932073
2022-04-07 20:11:00.494611 Epoch 91, Training loss 0.8978466494725301
2022-04-07 20:11:01.024218 Epoch 92, Training loss 0.883591159605063
2022-04-07 20:11:01.574091 Epoch 93, Training loss 0.8747583748056338
2022-04-07 20:11:02.104114 Epoch 94, Training loss 0.8689236374428639
2022-04-07 20:11:02.627600 Epoch 95, Training loss 0.8630595556818522
2022-04-07 20:11:03.151030 Epoch 96, Training loss 0.8533059521936454
2022-04-07 20:11:03.674294 Epoch 97, Training loss 0.8463425693603662
2022-04-07 20:11:04.219556 Epoch 98, Training loss 0.8379324316405333
2022-04-07 20:11:04.787432 Epoch 99, Training loss 0.8292223796821557
2022-04-07 20:11:05.364220 Epoch 100, Training loss 0.8194420824830349
2022-04-07 20:11:06.343992 Epoch 101, Training loss 0.8133831327924361
2022-04-07 20:11:06.884331 Epoch 102, Training loss 0.8069677797074502
2022-04-07 20:11:07.409238 Epoch 103, Training loss 0.8008277367513913
2022-04-07 20:11:07.930524 Epoch 104, Training loss 0.7948652987296765
2022-04-07 20:11:08.449133 Epoch 105, Training loss 0.7898688720395932
2022-04-07 20:11:08.964134 Epoch 106, Training loss 0.7845472524372431
2022-04-07 20:11:09.484062 Epoch 107, Training loss 0.7781928094247212
2022-04-07 20:11:10.003956 Epoch 108, Training loss 0.771242946672898
2022-04-07 20:11:10.544223 Epoch 109, Training loss 0.765277924016118
2022-04-07 20:11:11.063849 Epoch 110, Training loss 0.7586066268671018
2022-04-07 20:11:11.593954 Epoch 111, Training loss 0.7527729196903797
2022-04-07 20:11:12.103940 Epoch 112, Training loss 0.7435512016885556
2022-04-07 20:11:12.628941 Epoch 113, Training loss 0.7386973379896238
2022-04-07 20:11:13.144533 Epoch 114, Training loss 0.7297643784147042
2022-04-07 20:11:13.664071 Epoch 115, Training loss 0.7209406973650823
2022-04-07 20:11:14.178796 Epoch 116, Training loss 0.7119488228972142
2022-04-07 20:11:14.718831 Epoch 117, Training loss 0.7001990882249979
2022-04-07 20:11:15.254143 Epoch 118, Training loss 0.6923955558584287
2022-04-07 20:11:15.794089 Epoch 119, Training loss 0.6821079447578925
2022-04-07 20:11:16.329055 Epoch 120, Training loss 0.6733255273161026
2022-04-07 20:11:16.864206 Epoch 121, Training loss 0.6634296293442066
2022-04-07 20:11:17.384066 Epoch 122, Training loss 0.6532078965638692
2022-04-07 20:11:17.904120 Epoch 123, Training loss 0.6467551497312692
2022-04-07 20:11:18.426021 Epoch 124, Training loss 0.6375717446208
2022-04-07 20:11:18.963962 Epoch 125, Training loss 0.6304642608245978
2022-04-07 20:11:19.493895 Epoch 126, Training loss 0.620041079675922
2022-04-07 20:11:20.013809 Epoch 127, Training loss 0.612172938310183
2022-04-07 20:11:20.528313 Epoch 128, Training loss 0.6052901588666898
2022-04-07 20:11:21.054266 Epoch 129, Training loss 0.5963323415758518
2022-04-07 20:11:21.573923 Epoch 130, Training loss 0.5892501884641556
2022-04-07 20:11:22.124099 Epoch 131, Training loss 0.5807894431054592
2022-04-07 20:11:22.723929 Epoch 132, Training loss 0.571943805194818
2022-04-07 20:11:23.443904 Epoch 133, Training loss 0.5625935417528336
2022-04-07 20:11:23.975939 Epoch 134, Training loss 0.5522559305223135
2022-04-07 20:11:24.514048 Epoch 135, Training loss 0.5454389080405235
2022-04-07 20:11:25.023893 Epoch 136, Training loss 0.5384456548266686
2022-04-07 20:11:25.563933 Epoch 137, Training loss 0.5302490154997661
2022-04-07 20:11:26.104163 Epoch 138, Training loss 0.5220980473722403
2022-04-07 20:11:26.643861 Epoch 139, Training loss 0.5160012534604623
2022-04-07 20:11:27.173822 Epoch 140, Training loss 0.5071523523388001
2022-04-07 20:11:27.733863 Epoch 141, Training loss 0.5004316234531311
2022-04-07 20:11:28.279161 Epoch 142, Training loss 0.49058083530801994
2022-04-07 20:11:28.834196 Epoch 143, Training loss 0.484903610096528
2022-04-07 20:11:29.709068 Epoch 144, Training loss 0.47741582731787974
2022-04-07 20:11:30.274147 Epoch 145, Training loss 0.4707017062375179
2022-04-07 20:11:30.863913 Epoch 146, Training loss 0.4630827091347713
2022-04-07 20:11:31.413954 Epoch 147, Training loss 0.4551074815770754
